vt.n,sampledate,plot,subplot,plant,in.vt,FileName,in.volsmeta
338,2018-06-28,4,A,69,TRUE,4A69_June28_07292018.qgd,TRUE
339,2018-06-28,1,A,232,TRUE,1A232_June28_07262018_2C265_June19.qgd,TRUE
340,2018-06-28,4,B,189,TRUE,4B189_June28_07282018.qgd,TRUE
341,2018-06-28,1,B,655,TRUE,NA,FALSE
342,2018-06-28,1,C,50,TRUE,NA,FALSE
343,2018-06-28,4,C,119,TRUE,4C119_June28_07292018.qgd,TRUE
345,2018-06-29,3,A,128,TRUE,3A128_June29_07292018.qgd,TRUE
346,2018-06-29,2,B,195,TRUE,2B195_June29_07282018.qgd,TRUE
347,2018-06-29,3,B,833,TRUE,NA,FALSE
348,2018-06-29,3,C,168,TRUE,3C168_June29_07282018.qgd,TRUE
349,2018-06-29,2,C,265,TRUE,NA,FALSE
351,2018-06-29,2,D,209,TRUE,NA,FALSE
352,2018-07-03,6,A,166,TRUE,6A166_July3_07292018.qgd,TRUE
353,2018-07-03,5,A,175,TRUE,5A175_July3_07282018.qgd,TRUE
354,2018-07-03,5,B,7,TRUE,5B7_July3_07292018.qgd,TRUE
355,2018-07-03,6,B,28,TRUE,6B28_July3_07282018.qgd,TRUE
356,2018-07-03,6,C,103,TRUE,NA,FALSE
357,2018-07-03,5,C,220,TRUE,5C220_July3_07292018.qgd,TRUE
359,2018-07-03,6,D,66,TRUE,NA,FALSE
360,2018-07-03,5,D,258,TRUE,NA,FALSE
361,2018-07-05,3,A,127,TRUE,3D858_Aug2_08022018_3A127_July5_08022018.qgd,TRUE
362,2018-07-05,1,A,172,TRUE,NA,FALSE
363,2018-07-05,1,A,238,TRUE,1A238_July5_07282018.qgd,TRUE
364,2018-07-05,3,A,647,TRUE,3A647_July5_08032018.qgd,TRUE
365,2018-07-05,1,B,87,TRUE,NA,FALSE
366,2018-07-05,1,B,99,TRUE,1B99_July5_08032018.qgd,TRUE
367,2018-07-05,1,B,664,TRUE,1B664_July5_08032018.qgd,TRUE
368,2018-07-05,1,B,678,TRUE,1B678_July5_08032018.qgd,TRUE
369,2018-07-05,3,B,824,TRUE,3B824_July5_08032018.qgd,TRUE
370,2018-07-05,1,C,62,TRUE,1C62_July5_08032018.qgd,TRUE
371,2018-07-05,3,C,98,TRUE,3C98_July5_08042018.qgd,TRUE
