plantid	other_notes_21	cen181920	size20	notes1818r2_19_20chk1920
3C140		 V | F |DNF	0,,	,||,
3C141		 V | V |TNF	,,	,||,
3C142		 V | F | F 	1,,	,||,flowered twice?
3C143		 V | F | F 	1,,	,||,flowered twice?
3C144		 V | V | V 	1,17,21	,|ts|,
3C145		 V | V |DNF	0,,	missing,||,died and nf?
3C146		 V | F |DNF	0,,	,||,
3C147	changed from NF to O	 F |DNF|DNF	,,	,|dead|,
3C147_20		 F |DNF|DNF	1,,	,||,count leaves. resurrected?
3C148		 V | F |DNF	0,,	,||,
3C149	recheck - count stalks and rosettes	 V | F | V 	1,19,51	,||,flowered and lived?
3C150		 V | F |DNF	0,,	missing,||,
3C151		 V | F |DNF	0,,	,||,
3C152		 V | V | F 	,,	missing,||,
3C153		 V | V | F 	3,,	,||,
3C154		 V | V | F 	1,,	,||,
3C155		 V | V | V 	1,16,31	,||,
3C156		 F |DNF|DNF	0,,	,|dead|,
3C157		 V | V | V 	1,21,39	,||,
3C158		 V | V | F 	3,,	,||,
3C159		 V | V | F 	1,,	,||,
3C160		 V | V | V 	1,4,21	,||,
3C161		 V | F |DNF	0,,	,||,
3C162	recheck - count stalks and rosettes	 V | V | V 	1,18,41	,||,
