year	plotid	plant	plantid	plantid_uncorrected	date	VWC.plant	photosynthesis	conductance	WUE	notes	duplicate	plot	subplot	n_leaves	round	date.sm	date_diff	VWC.sm	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	VWC.sm.year	census	RGR	size
2018	2D	211	2D211	2D211	2018-07-06T00:00:00Z	NA	5.474063631	0.032779	177.1315	DRC updated WUE value and cond, date to 2018-07-06, not 2018-07-03	NA	2	D	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	2.18				NA	vegetative > flowering > vegetative	vegetative	flowering	vegetative	FALSE	1	1	Addition	Addition	2018-04-24T21:00:00Z	114	2018-04-25T05:00:00Z	114	Early	119	-5	157	222	212	4.276832370277091	133.08907882579587	137.36591119607294	6.295	19	NA	990
2018	3A	126	3A126	3A126	2018-07-13T00:00:00Z	NA	17.65122506	0.22118853225	80.036	NA	NA	3	A	NA	2018-07-13	2018-07-16T00:00:00Z	2.97	4.08		census20 leaf20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	2.6525	19	NA	252
2018	3A	276	3A276	3A276	2018-07-17T00:00:00Z	NA	14.770359515	0.16143928085	91.497	NA	NA	3	A	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	4.08				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	2.6525	19	-1.1442054155263297	990
2018	3A	637	3A637	3A637	2018-07-10T00:00:00Z	NA	15.29058842	0.1254499384	123.768	NA	NA	3	A	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	4.08				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	2.6525	19	NA	770
2018	3A	639	3A639	3A639	2018-07-03T00:00:00Z	NA	22.74241964	0.17182876685	132.263	NA	NA	3	A	NA	2018-07-03	2018-07-02T00:00:00Z	1.01	1.02				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	2.6525	19	NA	1106
2018	3A	647	3A647	3A647	2018-07-27T00:00:00Z	NA	22.768819215	0.1085792577	210.168	NA	NA	3	A	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	2.52		census19		NA	flowering > vegetative > dead_nf	flowering	vegetative	dead_nf	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	2.6525	19	NA	589
2018	3A	657	3A657	3A657	2018-07-06T00:00:00Z	NA	17.19458841	0.36300100175	47.288	NA	NA	3	A	NA	2018-07-06	2018-07-02T00:00:00Z	4.04	1.02		pheno19		NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	18.41953941289793	21.918765897670095	2.6525	19	NA	377
2018	3B	602	3B602	3B900	2018-07-17T00:00:00Z	NA	19.920410125	0.25618061895	28.219	DRC updated plant number. JP added plantid_uncorrected.	NA	3	B	NA	2018-07-17	2018-07-16T00:00:00Z	1.01	4.88				NA	vegetative > vegetative > no_record	vegetative	vegetative	no_record	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	3.3775	19	NA	713
2018	3B	608	3B608	3B608	2018-07-27T00:00:00Z	NA	23.18180722	0.182490595	127.133	NA	NA	3	B	NA	2018-07-27	2018-07-30T00:00:00Z	2.97	3.1999999999999997				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	3.3775	19	1.0765915942747704	714
2018	3B	609	3B609	3B609	2018-07-10T00:00:00Z	NA	11.02279738	0.061374635965	181.914	NA	NA	3	B	NA	2018-07-10	2018-07-16T00:00:00Z	5.94	4.88				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	3.4992264847721657	36.83907882579586	40.338305310568025	3.3775	19	NA	677
