year	plotid	plant	plantid_uncorrected	photosynthesis	conductance	WUE	notes	plantid	plot	subplot	discard	separate	modify	plantid_new	transition_fixed	status_18_fixed	status_19_fixed	status_20_fixed	modified	flowered	survived	water	water4	sun_time	sun_date	warm_time	warm_date	snow	sun_date_normal_mean	melt_offset	water_begin	water_end	last_day	precip_prewater_mm	precip_postwater_mm	precip_est_mm	date	n_leaves	VWC
2018	3A	637	3A637	15.29058842	0.1254499384	123.768	NA	3A637	3	A				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	3A	639	3A639	22.74241964	0.17182876685	132.263	NA	3A639	3	A				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	3A	647	3A647	22.768819215	0.1085792577	210.168	NA	3A647	3	A		census19		NA	flowering > vegetative > dead_nf	flowering	vegetative	dead_nf	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	3A	657	3A657	17.19458841	0.36300100175	47.288	NA	3A657	3	A		pheno19		NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Reduction	Reduction	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	16.103381200615335	23.455927787101434	NA	NA	NA
2018	3B	602	NA	19.920410125	0.25618061895	28.219	DRC updated plant number	3B602	3	B				NA	vegetative > vegetative > no_record	vegetative	vegetative	no_record	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3B	608	3B608	23.18180722	0.182490595	127.133	NA	3B608	3	B				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3B	609	3B609	11.02279738	0.061374635965	181.914	NA	3B609	3	B				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3B	616	3B616	18.70041379	0.2190708675	85.28	NA	3B616	3	B				NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3B	619	3B619	3.3985725305	0.099550239325	34.145	NA	3B619	3	B				NA	vegetative > vegetative > dead_nf	vegetative	vegetative	dead_nf	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3B	834	3B834	15.539836055	0.2030316729	76.503	NA	3B834	3	B				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Mock rainout	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3C	146	3C146	21.514796395	0.13110427935	164.108	NA	3C146	3	C				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Addition	Addition	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	128.45676240123066	135.80930898771678	NA	NA	NA
2018	3C	150	3C150	16.64934871	0.369561338	45.72	NA	3C150	3	C				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Addition	Addition	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	128.45676240123066	135.80930898771678	NA	NA	NA
2018	3C	151	3C151	29.79213688	0.3264093373	91.279	NA	3C151	3	C				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Addition	Addition	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	128.45676240123066	135.80930898771678	NA	NA	NA
2018	3C	153	3C153	17.654486115	0.13820242215	127.864	NA	3C153	3	C				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	128.45676240123066	135.80930898771678	NA	NA	NA
2018	3C	165	3C165	22.699717895	0.40689355435	55.788	NA	3C165	3	C				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Addition	Addition	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	128.45676240123066	135.80930898771678	NA	NA	NA
2018	3C	167	3C167	9.941803961	0.09584122594	104.908	NA	3C167	3	C				NA	vegetative > flowering > dead_nf	vegetative	flowering	dead_nf	FALSE	1	1	Addition	Addition	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	128.45676240123066	135.80930898771678	NA	NA	NA
2018	3D	865	3D865	8.301322979	0.087678351515	94.662	NA	3D865	3	D				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Control	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3D	869	3D869	14.22251101	0.08504147586	167.589	NA	3D869	3	D		pheno18		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Control	Control	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3D	875	3D875	16.030599079999998	0.1232479329	130.097	NA	3D875	3	D				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Control	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3D	875	3D875	15.64746514	0.11093664295	143.418	duplicate - average values for 3D875 before analysis	3D875	3	D				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Control	Control	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	3D	900	3D602	5.6310910785	0.19852547475000001	77.835	DRC updated plant number	3D900	3	D				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Control	Control	2018-04-29T18:00:00Z	119	2018-04-28T22:00:00Z	118	Normal	119	0	157	222	212	7.3525465864861	32.20676240123067	39.55930898771677	NA	NA	NA
2018	4A	65	4A65	13.158664375	0.1157550888	112.946	NA	4A65	4	A				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	NA	114	NA	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789	NA	NA	NA
2018	4A	104	4A104	25.868824735	0.28846652	89.917	NA	4A104	4	A		census20		NA	vegetative > dead_nf > dead_nf	vegetative	dead_nf	dead_nf	FALSE	0	0	Addition	Addition	NA	114	NA	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789	NA	NA	NA
2018	4A	109	4A109	33.52866284	0.43676704245	80.374	NA	4A109	4	A				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	NA	114	NA	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789	NA	NA	NA
2018	4A	110	4A110	18.97279997	0.086967230435	218.126	NA	4A110	4	A				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	NA	114	NA	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789	NA	NA	NA
2018	4A	111	4A111	10.5393979245	0.05763621321	183.098	NA	4A111	4	A				NA	vegetative > vegetative > vegetative	vegetative	vegetative	vegetative	FALSE	0	1	Addition	Addition	NA	114	NA	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789	NA	NA	NA
2018	4A	116	4A116	17.09878701	0.3943964151	43.094	NA	4A116	4	A				NA	vegetative > vegetative > flowering	vegetative	vegetative	flowering	FALSE	0	1	Addition	Addition	NA	114	NA	114	Early	119	-5	157	222	212	7.917959090348241	128.45676240123066	136.3747214915789	NA	NA	NA
2018	4B	160	4B160	14.49103787	0.079865583985	183.398	NA	4B160	4	B				NA	flowering > dead_nf > dead_nf	flowering	dead_nf	dead_nf	FALSE	0	0	Control	Mock rainout	NA	114	NA	114	Early	119	-5	157	222	212	7.917959090348241	32.20676240123067	40.12472149157891	NA	NA	NA
